"","LocID","Location","VarID","Variant","Time","SexID","Sex","Pop0","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25","Pop26","Pop27","Pop28","Pop29","Pop30","Pop31","Pop32","Pop33","Pop34","Pop35","Pop36","Pop37","Pop38","Pop39","Pop40","Pop41","Pop42","Pop43","Pop44","Pop45","Pop46","Pop47","Pop48","Pop49","Pop50","Pop51","Pop52","Pop53","Pop54","Pop55","Pop56","Pop57","Pop58","Pop59","Pop60","Pop61","Pop62","Pop63","Pop64","Pop65","Pop66","Pop67","Pop68","Pop69","Pop70","Pop71","Pop72","Pop73","Pop74","Pop75","Pop76","Pop77","Pop78","Pop79","Pop80_100","Pop80","Pop81","Pop82","Pop83","Pop84","Pop85","Pop86","Pop87","Pop88","Pop89","Pop90","Pop91","Pop92","Pop93","Pop94","Pop95","Pop96","Pop97","Pop98","Pop99","Pop100"
"25832",250,"France",2,"Medium",1953,2,"Female",321.94,368.883,398.689,451.563,419.645,387.925,357.262,328.516,300.738,272.976,255.142,251.714,258.124,265.031,273.956,282.454,288.253,292.386,298.355,305.696,311.028,313.089,313.049,312.195,308.9,309.572,317.091,327.631,337.377,350.55,347.22,318.196,274.408,233.61,189.401,166.919,179.561,214.438,245.701,279.041,303.306,310.511,306.7,305.939,305.46,304.871,305.397,306.28,305.627,303.924,301.336,297.796,293.496,288.768,283.625,278.217,272.68,267.034,261.084,254.779,248.919,243.858,239.232,234.285,229.117,223.619,217.641,211.213,204.544,197.632,190.027,181.537,172.346,162.955,153.419,143.211,132.168,120.616,109.152,97.794,501.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25833",250,"France",2,"Medium",1953,3,"Both",656.505,752.059,812.736,919.025,854.916,790.91,728.778,670.295,613.629,556.952,520.049,511.894,523.455,536.042,552.577,569.086,581.438,591.255,604.617,620.706,632.636,637.704,638.267,637.228,631.427,632.597,646.036,664.626,681.669,705.361,696.713,637.85,550.212,468.393,379.811,334.483,358.995,427.757,489.412,555.22,603.179,617.487,610.046,608.435,606.982,605.72,607.373,609.906,608.921,605.726,598.7,586.74,571.176,554.961,538.119,519.738,499.866,479.325,458.389,436.395,418.798,408.152,401.91,395.002,388.478,380.166,368.484,354.536,340.976,327.231,313.113,298.778,284.066,268.922,253.672,236.868,217.881,197.57,177.6,157.867,769.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25834",250,"France",2,"Medium",1954,1,"Male",320.433,377.882,415.961,437.039,454.714,432.242,406.071,377.713,348.679,318.089,285.063,263.059,258.366,265.325,271.606,279.211,287.182,293.654,299.226,306.506,315.132,321.626,324.562,325.116,324.88,322.328,322.784,328.667,336.687,343.954,354.435,349.118,319.342,275.586,234.645,190.353,167.522,179.305,213.032,243.263,275.555,299.066,305.986,302.17,301.12,299.941,299.047,299.931,301.328,300.748,299.013,294.355,285.752,274.335,262.691,250.825,237.745,223.387,208.518,193.546,177.883,166.083,160.292,158.378,156.126,154.464,151.36,145.406,137.657,130.539,123.505,116.732,110.534,104.62,98.523,92.489,85.713,77.791,69.207,60.902,270.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25835",250,"France",2,"Medium",1954,2,"Female",307.84,363.663,400.651,421.12,438.84,416.674,391.065,363.476,335.374,305.808,273.831,252.976,249.532,257.725,265.201,274.085,282.537,288.285,292.366,298.279,305.564,310.848,312.875,312.812,311.936,308.622,309.278,316.78,327.307,337.039,350.192,346.864,317.878,274.147,233.397,189.24,166.764,179.338,214.1,245.25,278.467,302.621,309.743,305.866,305.028,304.467,303.786,304.206,304.972,304.202,302.376,299.668,296.013,291.6,286.751,281.475,275.94,270.286,264.523,258.443,251.996,245.963,240.683,235.802,230.587,225.137,219.33,213.019,206.233,199.208,191.954,183.948,174.968,165.246,155.364,145.366,134.787,123.504,111.825,100.278,511.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25836",250,"France",2,"Medium",1954,3,"Both",628.273,741.545,816.612,858.159,893.555,848.916,797.136,741.189,684.053,623.897,558.894,516.035,507.898,523.05,536.807,553.295,569.719,581.939,591.592,604.785,620.696,632.474,637.437,637.928,636.816,630.949,632.062,645.448,663.994,680.994,704.627,695.982,637.22,549.732,468.042,379.593,334.285,358.643,427.132,488.512,554.022,601.687,615.729,608.036,606.148,604.408,602.833,604.136,606.3,604.95,601.389,594.023,581.766,565.935,549.442,532.301,513.685,493.673,473.041,451.989,429.879,412.046,400.976,394.18,386.713,379.6,370.69,358.424,343.891,329.746,315.458,300.68,285.502,269.866,253.886,237.855,220.5,201.295,181.032,161.18,781.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25837",250,"France",2,"Medium",1955,1,"Male",322.494,377.847,415.363,437.15,445.316,441.967,429.212,409.157,383.91,355.58,323.286,286.149,261.211,256.552,265.319,272.2,279.8,287.733,294.122,299.583,306.749,315.253,321.643,324.508,325.013,324.727,322.128,322.543,328.39,336.379,343.617,354.059,348.743,319.029,275.367,234.507,190.296,167.48,179.176,212.744,242.814,274.932,298.259,304.996,300.994,299.744,298.36,297.245,297.886,299.031,298.203,296.224,291.346,282.56,270.989,259.19,247.157,233.969,219.589,204.744,189.787,174.15,162.287,156.291,154.078,151.534,149.567,146.173,139.968,131.991,124.645,117.41,110.379,103.827,97.52,91.078,84.726,77.769,69.869,61.46,265.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25838",250,"France",2,"Medium",1955,2,"Female",309.471,363.529,400.152,421.412,429.378,426.118,413.703,394.205,369.69,342.231,310.878,274.687,250.81,247.35,257.327,265.372,274.214,282.619,288.317,292.345,298.204,305.432,310.668,312.661,312.575,311.677,308.344,308.984,316.47,326.983,336.701,349.833,346.508,317.56,273.885,233.184,189.079,166.608,179.115,213.762,244.798,277.892,301.935,308.975,305.032,304.117,303.474,302.701,303.014,303.664,302.776,300.828,298,294.231,289.705,284.734,279.326,273.663,267.892,262.013,255.802,249.214,243.007,237.508,232.372,226.89,221.156,215.042,208.396,201.254,193.871,186.276,177.869,168.399,158.146,147.772,137.313,126.363,114.84,103.034,514.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25839",250,"France",2,"Medium",1955,3,"Both",631.965,741.376,815.515,858.562,874.694,868.085,842.915,803.362,753.6,697.811,634.164,560.836,512.021,503.902,522.646,537.572,554.014,570.352,582.439,591.928,604.953,620.685,632.311,637.169,637.588,636.404,630.472,631.527,644.86,663.362,680.318,703.892,695.251,636.589,549.252,467.691,379.375,334.088,358.291,426.506,487.612,552.824,600.194,613.971,606.026,603.861,601.834,599.946,600.9,602.695,600.979,597.052,589.346,576.791,560.694,543.924,526.483,507.632,487.481,466.757,445.589,423.364,405.294,393.799,386.45,378.424,370.723,361.215,348.364,333.245,318.516,303.686,288.248,272.226,255.666,238.85,222.039,204.132,184.709,164.494,779.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25840",250,"France",2,"Medium",1956,1,"Male",336.92,337.614,382.761,413.873,432.425,439.893,438.388,430.027,413.081,387.747,357.419,324.403,287.165,262.217,257.689,266.672,273.753,281.562,289.629,296.028,301.415,308.515,316.948,323.246,326.003,326.387,325.969,323.226,323.507,329.237,337.122,344.247,354.565,349.15,319.376,275.674,234.762,190.496,167.585,179.124,212.489,242.353,274.256,297.346,303.824,299.545,298.015,296.35,294.94,295.269,296.097,294.962,292.681,287.542,278.555,266.828,254.873,242.674,229.388,215.006,200.21,185.298,169.731,157.813,151.566,148.977,146.083,143.764,140.063,133.636,125.498,118.001,110.647,103.504,96.834,90.428,83.937,77.569,70.724,63.112,284.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25841",250,"France",2,"Medium",1956,2,"Female",323.11,324.454,368.551,398.904,416.971,424.206,422.675,414.445,397.915,373.313,343.931,311.894,275.66,251.684,248.033,257.773,265.605,274.228,282.54,288.341,292.599,298.673,306.12,311.559,313.712,313.75,312.983,309.791,310.488,317.909,328.275,337.845,350.812,347.345,318.303,274.566,233.782,189.574,167.027,179.501,214.134,245.15,278.232,302.189,309.027,304.809,303.627,302.701,301.697,301.873,302.443,301.453,299.395,296.445,292.529,287.837,282.693,277.107,271.231,265.201,259.028,252.51,245.599,239.058,233.22,227.737,221.903,215.828,209.322,202.209,194.562,186.706,178.667,169.869,160.087,149.596,139.034,128.444,117.462,106.024,546.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
